Argentina,,,,,,
Provincia,Seats, Population ,Pop/Seats,Correction,Pop/Seats,Diff
Ciudad Aut¢noma de Buenos Aires,25," 2,890,151 "," 115,606 ",19," 152,113 ",-6
Provincia de Buenos Aires,70," 15,625,084 "," 223,215 ",100," 156,251 ",30
Provincia de Catamarca,5," 367,828 "," 73,566 ",2," 183,914 ",-3
Provincia del Chaco,7," 1,055,259 "," 150,751 ",7," 150,751 ",0
Provincia de Chubut,5," 509,108 "," 101,822 ",3," 169,703 ",-2
Provincia de C¢rdoba,18," 3,308,876 "," 183,826 ",21," 157,566 ",3
Provincia de Corrientes,7," 992,595 "," 141,799 ",6," 165,433 ",-1
Provincia de Entre R¡os,9," 1,235,994 "," 137,333 ",8," 154,499 ",-1
Provincia de Formosa,5," 530,162 "," 106,032 ",3," 176,721 ",-2
Provincia de Jujuy,6," 673,307 "," 112,218 ",4," 168,327 ",-2
Provincia de La Pampa,5," 318,951 "," 63,790 ",2," 159,476 ",-3
Provincia de La Rioja,5," 333,642 "," 66,728 ",2," 166,821 ",-3
Provincia de Mendoza,10," 1,738,929 "," 173,893 ",11," 158,084 ",1
Provincia de Misiones,7," 1,101,593 "," 157,370 ",7," 157,370 ",0
Provincia de Neuqu‚n,5," 551,266 "," 110,253 ",4," 137,817 ",-1
Provincia de R¡o Negro,5," 638,645 "," 127,729 ",4," 159,661 ",-1
Provincia de Salta,7," 1,214,441 "," 173,492 ",8," 151,805 ",1
Provincia de San Juan,6," 681,055 "," 113,509 ",4," 170,264 ",-2
Provincia de San Luis,5," 432,310 "," 86,462 ",3," 144,103 ",-2
Provincia de Santa Cruz,5," 273,964 "," 54,793 ",2," 136,982 ",-3
Provincia de Santa Fe,19," 3,194,537 "," 168,134 ",20," 159,727 ",1
Provincia de Santiago del Estero,7," 874,006 "," 124,858 ",6," 145,668 ",-1
Provincia de Tierra del Fuego,5," 127,205 "," 25,441 ",1," 127,205 ",-4
Provincia de Tucum n,9," 1,448,188 "," 160,910 ",9," 160,910 ",0
,257," 40,117,096 "," 156,098 ",256," 156,707 ",
,,,,,,
