anio,eleccion,provinciaId,provincia,departamentoId,departamento,partidoId,partido,votos
2007,DN,2,Buenos Aires,16,CAMPANA,14,OBRERO,274
2007,DN,2,Buenos Aires,35,ESCOBAR,14,OBRERO,726
2007,DN,2,Buenos Aires,45,LAS HERAS,14,OBRERO,44
2007,DN,2,Buenos Aires,51,G. RODRIGUEZ,14,OBRERO,311
2007,DN,2,Buenos Aires,52,G. SAN MARTIN,14,OBRERO,1564
2007,DN,2,Buenos Aires,53,S. MIGUEL,14,OBRERO,1056
2007,DN,2,Buenos Aires,71,LUJAN,14,OBRERO,270
2007,DN,2,Buenos Aires,75,MARCOS PAZ,14,OBRERO,303
2007,DN,2,Buenos Aires,76,MERCEDES,14,OBRERO,603
2007,DN,2,Buenos Aires,77,MERLO,14,OBRERO,2678
2007,DN,2,Buenos Aires,79,MORENO,14,OBRERO,1757
2007,DN,2,Buenos Aires,80,MORON,14,OBRERO,1235
2007,DN,2,Buenos Aires,81,NAVARRO,14,OBRERO,22
2007,DN,2,Buenos Aires,89,PILAR,14,OBRERO,735
2007,DN,2,Buenos Aires,105,S. FERNANDO,14,OBRERO,699
2007,DN,2,Buenos Aires,106,S. ISIDRO,14,OBRERO,1116
2007,DN,2,Buenos Aires,110,SUIPACHA,14,OBRERO,20
2007,DN,2,Buenos Aires,113,TIGRE,14,OBRERO,1058
2007,DN,2,Buenos Aires,118,3 DE FEBRERO,14,OBRERO,1417
2007,DN,2,Buenos Aires,122,V. LOPEZ,14,OBRERO,1013
2007,DN,2,Buenos Aires,129,JOSE C. PAZ,14,OBRERO,1119
2007,DN,2,Buenos Aires,130,MALVINAS ARG.,14,OBRERO,1187
2007,DN,2,Buenos Aires,133,ITUZAINGO,14,OBRERO,845
2007,DN,2,Buenos Aires,134,HURLINGHAM,14,OBRERO,1078
2007,DN,2,Buenos Aires,16,CAMPANA,30,SOCIALISTA AUTENTICO,497
2007,DN,2,Buenos Aires,35,ESCOBAR,30,SOCIALISTA AUTENTICO,809
2007,DN,2,Buenos Aires,45,LAS HERAS,30,SOCIALISTA AUTENTICO,85
2007,DN,2,Buenos Aires,51,G. RODRIGUEZ,30,SOCIALISTA AUTENTICO,424
2007,DN,2,Buenos Aires,52,G. SAN MARTIN,30,SOCIALISTA AUTENTICO,4273
2007,DN,2,Buenos Aires,53,S. MIGUEL,30,SOCIALISTA AUTENTICO,2061
2007,DN,2,Buenos Aires,71,LUJAN,30,SOCIALISTA AUTENTICO,718
2007,DN,2,Buenos Aires,75,MARCOS PAZ,30,SOCIALISTA AUTENTICO,234
