"partidoId","anio","provincia","vot","partido"
3,2007,"Buenos Aires",417185,"UNION CIVICA RADICAL"
14,2007,"Buenos Aires",56835,"OBRERO"
30,2007,"Buenos Aires",132347,"SOCIALISTA AUTENTICO"
38,2007,"Buenos Aires",79036,"MOV. SOC. DE LOS TRABAJ. (MST)"
48,2007,"Buenos Aires",106315,"RECREAR PARA EL CRECIMIENTO"
51,2007,"Buenos Aires",16036,"POPULAR DE LA RECONSTRUCCION"
60,2007,"Buenos Aires",24730,"MOV. INDEP. DE JUBILADOS Y DESOCUPADOS (MIJD)"
132,2007,"Buenos Aires",26055,"FTE. AMPLIO H/ LA UNIDAD LATINOAM."
133,2007,"Buenos Aires",251448,"FTE. JUSTICIA UNION Y LIBERTAD"
134,2007,"Buenos Aires",3115042,"FTE. PARA LA VICTORIA"
135,2007,"Buenos Aires",44550,"FTE. PTS - MAS IZQUIERDA SOCIALISTA"
199,2007,"Buenos Aires",96775,"UNIDAD FEDERALISTA - PAUFE"
206,2007,"Buenos Aires",9249,"MOV. POPULAR PARA LA RECONQUISTA"
237,2007,"Buenos Aires",16503,"CONVERGENCIA SOCIALISTA"
238,2007,"Buenos Aires",6552,"ACCION SOLIDARIA INDEP.BONAERENSE"
240,2007,"Buenos Aires",11324,"CONVOCATORIA DE INTEG. CIUDADANA"
244,2007,"Buenos Aires",522,"LEALTAD Y DIGNIDAD PCIA. BS. AS."
245,2007,"Buenos Aires",6155,"MOV. DEL TRABAJO"
246,2007,"Buenos Aires",2031,"CONCERTACION PLURAL"
247,2007,"Buenos Aires",15600,"MOV. FEDERAL DE LOS JUBILADOS"
249,2007,"Buenos Aires",7137,"RENOVADOR DE LA PCIA. DE BS. AS."
502,2007,"Buenos Aires",253818,"SOCIEDAD JUSTA"
503,2007,"Buenos Aires",57907,"AL. VAMOS"
505,2007,"Buenos Aires",627779,"UNION - PRO"
507,2007,"Buenos Aires",1386048,"AL. FTE. COALICION CIVICA"
3,2007,"Capital Federal",106082,"UNION CIVICA RADICAL"
5,2007,"Capital Federal",4468,"DEMOCRATA CRISTIANO"
9,2007,"Capital Federal",79219,"DEMOCRATA PROGRESISTA"
14,2007,"Capital Federal",12115,"OBRERO"
20,2007,"Capital Federal",41404,"U.Ce.De."
23,2007,"Capital Federal",4091,"UNION POPULAR"
36,2007,"Capital Federal",26636,"AUTONOMISTA"
37,2007,"Capital Federal",2951,"MOV. POR LA DIG. Y LA INDEP. (MODIN)"
38,2007,"Capital Federal",33683,"MOV. SOC. DE LOS TRABAJ. (MST)"
50,2007,"Capital Federal",255660,"SOCIALISTA"
51,2007,"Capital Federal",4219,"POPULAR DE LA RECONSTRUCCION"
60,2007,"Capital Federal",3777,"MOV. INDEP. DE JUBILADOS Y DESOCUPADOS (MIJD)"
179,2007,"Capital Federal",2724,"ACCION CIUDADANA"
206,2007,"Capital Federal",3651,"MOV. POPULAR PARA LA RECONQUISTA"
214,2007,"Capital Federal",4703,"LIGA SOCIALISTA REVOLUCIONARIA"
262,2007,"Capital Federal",176,"EL MOVIMIENTO"
267,2007,"Capital Federal",908,"CONVOC. DE INTEGR. CIUDADANA"
279,2007,"Capital Federal",50411,"CONSENSO PORTEÑO"
283,2007,"Capital Federal",2692,"ASAMBLEAS POPULARES"
284,2007,"Capital Federal",938,"FUERZA INDEP. DE CENTRO"
501,2007,"Capital Federal",232447,"AL. FTE PARA LA VICTORIA"
502,2007,"Capital Federal",8247,"SOCIEDAD JUSTA"
503,2007,"Capital Federal",245423,"AL. VAMOS"
504,2007,"Capital Federal",159089,"AL. DIALOGO POR BS. AS."
505,2007,"Capital Federal",133226,"UNION - PRO"
506,2007,"Capital Federal",6673,"AL. EL MOV. DE LAS PROV. UNIDAS"
